Interface,Model,task_type,category,task_id,task_completion_rate,avg_precision,avg_recall,f1_score,prompt_tokens,completion_tokens,execution_time,Cost,aggregate_category,aggregate_category_2
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task9,0,0,0,0,"78,800","1,979",46.33685565,$0.17,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task12,0,1,0.6666666667,0.8,"89,830","2,808",56.72706342,$0.20,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task4,1,1,1,1,"103,882","3,212",72.11365151,$0.23,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task10,1,1,1,1,"86,190","3,099",71.83700895,$0.20,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task2,0,1,0.5,0.6666666667,"90,118","2,626",53.68669534,$0.20,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task7,1,1,1,1,"100,091","3,079",58.50787115,$0.22,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task8,1,1,1,1,"100,889","2,951",60.34041142,$0.23,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task3,1,1,1,1,"159,483","5,237",108.0441048,$0.36,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task5,1,1,1,1,"85,674","2,673",64.28934336,$0.19,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task6,0,0.6363636364,0.6363636364,0.6363636364,"313,595","8,585",186.0361946,$0.70,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task11,1,1,1,1,"94,148","2,989",57.4662118,$0.21,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task1,1,1,1,1,"91,267","2,998",64.19010186,$0.21,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task6,0,0,0,0,"91,652","2,391",54.18050718,$0.20,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task8,0,1,0.1666666667,0.2857142857,"154,802","3,775",217.0614398,$0.34,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task1,0,1,0.5,0.6666666667,"98,776","2,741",64.23034716,$0.22,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task7,1,1,1,1,"125,736","3,406",83.04912686,$0.28,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task9,0,0.6666666667,1,0.8,"171,990","4,251",98.01696968,$0.38,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task11,0,0.6666666667,0.3333333333,0.4444444444,"238,165","5,610",129.2300184,$0.52,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task3,1,1,1,1,"356,781","7,780",211.9858341,$0.78,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task4,0,1,0.09090909091,0.1666666667,"139,384","3,440",75.85976028,$0.31,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task2,0,1,0.4,0.5714285714,"135,845","3,481",74.53915977,$0.30,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task5,1,1,1,1,"112,880","3,818",80.86757445,$0.26,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task10,1,1,1,1,"313,429","6,831",147.3133214,$0.68,Specific Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Checkout,Webmall_Checkout_Task7,1,1,1,1,"161,343","3,018",70.58253598,$0.35,Action & Transaction,Action & Transaction
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Checkout,Webmall_Checkout_Task1,1,1,1,1,"160,593","3,072",75.43870282,$0.35,Action & Transaction,Action & Transaction
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Checkout,Webmall_Checkout_Task3,1,1,1,1,"132,535","2,849",70.16735339,$0.29,Action & Transaction,Action & Transaction
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Checkout,Webmall_Checkout_Task5,1,1,1,1,"114,946","3,282",74.54486179,$0.26,Action & Transaction,Action & Transaction
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Checkout,Webmall_Checkout_Task4,1,1,1,1,"163,720","3,082",93.91161418,$0.35,Action & Transaction,Action & Transaction
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Checkout,Webmall_Checkout_Task6,1,1,1,1,"129,274","2,573",58.53111696,$0.28,Action & Transaction,Action & Transaction
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Checkout,Webmall_Checkout_Task2,1,1,1,1,"118,991","3,289",108.5746853,$0.26,Action & Transaction,Action & Transaction
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Checkout,Webmall_Checkout_Task8,1,1,1,1,"161,511","2,969",110.8504546,$0.35,Action & Transaction,Action & Transaction
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task3,1,1,1,1,"102,957","2,624",60.30034995,$0.23,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task7,0,0,0,0,"78,679","1,885",43.00674629,$0.17,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task1,1,1,1,1,"97,982","2,745",61.96988392,$0.22,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task8,1,1,1,1,"96,280","3,372",74.31202173,$0.22,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task2,1,1,1,1,"283,485","8,004",212.9767182,$0.63,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task5,1,1,1,1,"78,467","2,878",52.37289739,$0.18,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task9,1,1,1,1,"85,266","2,741",62.95556331,$0.19,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task6,1,1,1,1,"88,021","2,543",64.18088531,$0.20,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task4,1,1,1,1,"89,851","3,106",74.20146227,$0.20,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task10,1,1,1,1,"93,028","2,727",65.38642311,$0.21,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task3,1,1,1,1,"101,110","3,165",64.92104244,$0.23,Action & Transaction,Action & Transaction
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task1,1,1,1,1,"97,354","2,966",60.56620669,$0.22,Action & Transaction,Action & Transaction
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task4,1,1,1,1,"98,184","3,082",82.79974294,$0.22,Action & Transaction,Action & Transaction
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task5,1,1,1,1,"102,328","3,603",69.77898002,$0.23,Action & Transaction,Action & Transaction
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task7,1,1,1,1,"90,644","2,322",59.95841169,$0.20,Action & Transaction,Action & Transaction
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task2,1,1,1,1,"84,700","2,734",59.53656912,$0.19,Action & Transaction,Action & Transaction
1_AX+MEM,1_GPT-4.1,Basic,Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task6,1,1,1,1,"108,346","4,146",125.4079301,$0.25,Action & Transaction,Action & Transaction
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task1,0,1,0.5,0.6666666667,"134,268","4,841",100.022023,$0.31,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task4,0,0,0,0,"551,096","13,724",278.3451846,$1.21,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task2,1,1,1,1,"121,860","4,049",94.12091494,$0.28,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task6,0,1,0.6666666667,0.8,"414,275","9,510",265.4355698,$0.90,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task3,0,1,0.5,0.6666666667,"76,791","2,588",72.31538677,$0.17,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task5,0,0,0,0,"183,302","4,599",107.699553,$0.40,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_EndToEnd,Webmall_EndToEnd_Task4,1,1,1,1,"244,863","4,400",109.3062761,$0.52,End to End,End to End
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_EndToEnd,Webmall_EndToEnd_Task6,1,1,1,1,"227,089","4,703",123.5781026,$0.49,End to End,End to End
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_EndToEnd,Webmall_EndToEnd_Task7,1,1,1,1,"528,948","10,926",288.0834568,$1.15,End to End,End to End
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_EndToEnd,Webmall_EndToEnd_Task1,1,1,1,1,"280,477","5,206",127.9403119,$0.60,End to End,End to End
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_EndToEnd,Webmall_EndToEnd_Task8,0,0,0,0,"162,175","4,562",96.21515417,$0.36,End to End,End to End
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_EndToEnd,Webmall_EndToEnd_Task2,0,0,0,0,"255,099","5,133",140.7814686,$0.55,End to End,End to End
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_EndToEnd,Webmall_EndToEnd_Task3,0,0,0,0,"92,865","2,332",85.8667109,$0.20,End to End,End to End
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_EndToEnd,Webmall_EndToEnd_Task5,1,1,1,1,"300,774","5,971",141.6452506,$0.65,End to End,End to End
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task2,1,1,1,1,"155,181","4,650",100.9608178,$0.35,Vague Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task1,0,0,0,0,"128,159","4,152",92.05099177,$0.29,Vague Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task3,1,1,1,1,"160,381","4,461",99.95508599,$0.36,Vague Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task4,0,0,0,0,"173,142","3,355",89.06536436,$0.37,Vague Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task5,0,0,0,0,"201,970","4,308",108.9161747,$0.44,Vague Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task8,0,0,0,0,"97,725","3,301",68.68141341,$0.22,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task2,0,0,0,0,"61,161","2,358",50.5212326,$0.14,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task6,1,1,1,1,"146,891","5,319",100.7347081,$0.34,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task5,1,1,1,1,"238,885","6,323",130.6438198,$0.53,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task10,0,0,0,0,"91,162","2,766",74.12133884,$0.20,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task3,0,0,0,0,"145,722","3,600",94.97396898,$0.32,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task4,0,0,0,0,"89,811","2,832",58.26174474,$0.20,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task9,0,0,0,0,"149,175","4,361",91.92055798,$0.33,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task1,0,0,0,0,"96,009","3,152",69.53326368,$0.22,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task7,1,1,1,1,"89,547","3,436",83.15986681,$0.21,Cheapest Product Search,Cheapest Product Search
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task4,0,1,0.2222222222,0.3636363636,"204,539","4,101",96.14487052,$0.44,Vague Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task2,0,0.6153846154,1,0.7619047619,"300,760","8,695",187.2769997,$0.67,Vague Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task5,0,1,0.75,0.8571428571,"147,902","4,039",87.00439715,$0.33,Vague Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task3,0,1,0.3333333333,0.5,"197,380","5,028",144.7963665,$0.43,Vague Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task6,1,1,1,1,"91,134","2,321",91.51954937,$0.20,Vague Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task8,0,0.125,0.25,0.1666666667,"248,139","6,202",155.6467769,$0.55,Vague Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task7,0,0.6666666667,0.6666666667,0.6666666667,"139,596","4,061",77.37125945,$0.31,Vague Product Search,Without_price
