task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens,execution_time_seconds
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task1,1,1.0,1.0,1.0,50575,1370,24.333911180496216
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task2,1,1.0,1.0,1.0,27106,1593,29.728319883346558
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task3,1,1.0,1.0,1.0,44830,2389,36.29393219947815
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task4,1,1.0,1.0,1.0,28972,1441,23.872656106948853
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task5,1,1.0,1.0,1.0,42077,1355,31.12003993988037
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task1,1,1.0,1.0,1.0,44199,1592,28.808703899383545
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task2,1,1.0,1.0,1.0,99540,3191,44.829458236694336
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task3,1,1.0,1.0,1.0,27171,1368,24.662534952163696
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task4,1,1.0,1.0,1.0,55587,1776,27.2780179977417
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task5,1,1.0,1.0,1.0,41737,1165,21.19882082939148
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task1,1,1.0,1.0,1.0,44997,1706,30.58895993232727
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task2,0,1.0,0.8,0.888888888888889,207031,2076,41.148110151290894
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task3,1,1.0,1.0,1.0,43823,1907,28.31045889854431
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task4,0,0.7142857142857143,0.45454545454545453,0.5555555555555556,41559,5817,80.24566006660461
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task5,0,0.8,1.0,0.888888888888889,197218,2861,51.81238508224487
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task1,1,1.0,1.0,1.0,28458,1681,31.121696949005127
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task2,0,0.25,0.5,0.3333333333333333,188176,5205,80.16189002990723
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,101491,2415,38.67669701576233
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task4,1,1.0,1.0,1.0,44934,4518,63.67669415473938
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task5,1,1.0,1.0,1.0,96324,3749,65.1977322101593
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task1,0,0.0,0.0,0.0,39069,1888,29.558846950531006
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task2,1,1.0,1.0,1.0,42166,1596,25.764554023742676
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task3,1,1.0,1.0,1.0,92963,2295,35.659950733184814
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task4,1,1.0,1.0,1.0,55432,3055,43.78233766555786
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task5,1,1.0,1.0,1.0,99137,1708,27.020426988601685
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task1,0,0.16666666666666666,0.3333333333333333,0.2222222222222222,40976,3434,47.14595913887024
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task2,0,0.5,1.0,0.6666666666666666,154896,7056,109.99788308143616
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task3,1,1.0,1.0,1.0,173354,5189,94.36634492874146
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task4,1,1.0,1.0,1.0,28878,3462,47.423457860946655
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task5,0,0.5,1.0,0.6666666666666666,44198,2578,37.18464517593384
Webmall_EndToEnd,Webmall_EndToEnd_Task1,1,1.0,1.0,1.0,79840,1803,33.63258409500122
Webmall_EndToEnd,Webmall_EndToEnd_Task2,1,1.0,1.0,1.0,51601,1393,24.611177921295166
Webmall_EndToEnd,Webmall_EndToEnd_Task3,1,1.0,1.0,1.0,284372,1153,30.408455848693848
Webmall_EndToEnd,Webmall_EndToEnd_Task4,1,1.0,1.0,1.0,166343,1956,35.90524172782898
Webmall_EndToEnd,Webmall_EndToEnd_Task5,1,1.0,1.0,1.0,115724,1972,31.42141580581665
