task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens,execution_time_seconds
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task9,1.0,1.0,1.0,1.0,112653,5758,114.60817289352417
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task8,1.0,1.0,1.0,1.0,153328,9024,183.55665683746338
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task2,1.0,1.0,1.0,1.0,266786,34598,465.93215107917786
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task6,0.0,0.0,0.0,0.0,197629,10460,206.22197270393372
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task10,1.0,1.0,1.0,1.0,129176,6666,131.07974982261658
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task3,0.0,0.0,0.0,0.0,109667,5472,325.3960237503052
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task5,1.0,1.0,1.0,1.0,148600,8199,150.70753169059753
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task1,1.0,1.0,1.0,1.0,141096,7440,145.48032426834106
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task4,1.0,1.0,1.0,1.0,136170,8008,196.98363041877747
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task7,0.0,0.0,0.0,0.0,110065,5767,114.68811106681824
Webmall_Checkout,Webmall_Checkout_Task6,1.0,1.0,1.0,1.0,177082,6276,155.30678486824036
Webmall_Checkout,Webmall_Checkout_Task3,1.0,1.0,1.0,1.0,201623,8459,190.56072568893433
Webmall_Checkout,Webmall_Checkout_Task8,1.0,1.0,1.0,1.0,200993,5959,150.82919216156006
Webmall_Checkout,Webmall_Checkout_Task5,1.0,1.0,1.0,1.0,166191,8374,191.55723071098328
Webmall_Checkout,Webmall_Checkout_Task4,1.0,1.0,1.0,1.0,234038,8589,199.82852292060852
Webmall_Checkout,Webmall_Checkout_Task2,0.0,0.0,0.0,0.0,177530,8606,180.68733978271484
Webmall_Checkout,Webmall_Checkout_Task7,1.0,1.0,1.0,1.0,242751,9269,174.31602931022644
Webmall_Checkout,Webmall_Checkout_Task1,1.0,1.0,1.0,1.0,237548,8935,218.87918519973755
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task7,1.0,1.0,1.0,1.0,135190,7091,146.9363567829132
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task4,1.0,1.0,1.0,1.0,216062,11878,243.79365301132202
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task10,0.0,0.0,0.0,0.0,116190,6420,117.09028720855713
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task1,1.0,1.0,1.0,1.0,126250,6532,127.74762439727783
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task12,1.0,1.0,1.0,1.0,155996,9815,162.7552366256714
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task5,1.0,1.0,1.0,1.0,122291,6939,139.87776041030884
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task2,0.0,1.0,0.5,0.6666666666666666,143260,7704,161.17475581169128
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task3,1.0,1.0,1.0,1.0,262549,14286,455.1078803539276
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task8,1.0,1.0,1.0,1.0,150071,8533,156.56117296218872
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task9,0.0,0.0,0.0,0.0,109330,5456,123.523020029068
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task6,1.0,1.0,1.0,1.0,993732,172883,1791.5672965049744
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task11,1.0,1.0,1.0,1.0,135096,7186,149.53508949279785
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task3,1.0,1.0,1.0,1.0,167142,18094,264.5511372089386
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task7,1.0,1.0,1.0,1.0,192132,8997,180.6504020690918
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task1,1.0,1.0,1.0,1.0,155197,8429,150.83322095870972
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task5,1.0,1.0,1.0,1.0,205806,18036,271.71923542022705
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task6,0.0,0.0,0.0,0.0,108932,5327,100.95824646949768
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task2,1.0,1.0,1.0,1.0,150773,8589,143.46291327476501
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task4,1.0,1.0,1.0,1.0,172800,18665,257.47794795036316
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task10,1.0,1.0,1.0,1.0,360072,16861,345.1649627685547
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task1,0.0,1.0,0.5,0.6666666666666666,146360,8168,170.15554547309875
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task4,0.0,1.0,0.09090909090909091,0.16666666666666669,342940,13227,277.75572085380554
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task6,0.0,0.0,0.0,0.0,246902,11987,834.7624719142914
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task8,0.0,0.0,0.0,0.0,1110735,56596,927.2932107448578
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task2,0.0,1.0,0.8,0.888888888888889,170482,10753,186.42703819274902
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task5,1.0,1.0,1.0,1.0,166521,9816,199.77266812324524
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task9,1.0,1.0,1.0,1.0,487439,19697,391.7427146434784
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task7,1.0,1.0,1.0,1.0,253769,12948,241.86709761619568
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task3,1.0,1.0,1.0,1.0,299421,14417,302.75744700431824
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task11,0.0,1.0,0.16666666666666666,0.2857142857142857,811934,33941,565.474555015564
Webmall_Substitutes,Webmall_Substitutes_Task6,1.0,1.0,1.0,1.0,373077,30873,487.12414050102234
Webmall_Substitutes,Webmall_Substitutes_Task4,1.0,1.0,1.0,1.0,301832,13085,426.0240137577057
Webmall_Substitutes,Webmall_Substitutes_Task1,0.0,0.0,0.0,0.0,312673,15374,295.28394842147827
Webmall_Substitutes,Webmall_Substitutes_Task5,1.0,1.0,1.0,1.0,334934,14639,305.8577346801758
Webmall_Substitutes,Webmall_Substitutes_Task2,1.0,1.0,1.0,1.0,130806,8700,151.24331784248352
Webmall_Substitutes,Webmall_Substitutes_Task3,0.0,0.0,0.0,0.0,138232,26055,387.5377790927887
Webmall_EndToEnd,Webmall_EndToEnd_Task8,0.0,1.0,0.5,0.6666666666666666,835860,25900,642.6978812217712
Webmall_EndToEnd,Webmall_EndToEnd_Task5,1.0,1.0,1.0,1.0,484338,16847,293.5524778366089
Webmall_EndToEnd,Webmall_EndToEnd_Task1,1.0,1.0,1.0,1.0,629999,22025,375.68067240715027
Webmall_EndToEnd,Webmall_EndToEnd_Task3,0.0,0.0,0.0,0.0,453048,19184,388.96588158607483
Webmall_EndToEnd,Webmall_EndToEnd_Task7,1.0,1.0,1.0,1.0,1031810,28599,468.79835867881775
Webmall_EndToEnd,Webmall_EndToEnd_Task4,1.0,1.0,1.0,1.0,576027,19629,333.6905417442322
Webmall_EndToEnd,Webmall_EndToEnd_Task2,1.0,1.0,1.0,1.0,412384,14019,291.01456451416016
Webmall_EndToEnd,Webmall_EndToEnd_Task6,1.0,1.0,1.0,1.0,399686,15074,268.7825586795807
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task3,1.0,1.0,1.0,1.0,632203,44019,657.9296791553497
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task5,0.0,0.5,1.0,0.6666666666666666,132485,7284,155.52429151535034
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task2,0.0,1.0,0.6666666666666666,0.8,255444,25030,388.27983021736145
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task1,0.0,0.0,0.0,0.0,295215,13811,262.18826842308044
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task4,0.0,0.2,0.3333333333333333,0.25,367780,18253,315.48785638809204
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task6,1.0,1.0,1.0,1.0,248087,12079,481.1078963279724
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task8,0.0,0.25,0.5,0.3333333333333333,477137,25278,461.7196047306061
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task1,1.0,1.0,1.0,1.0,164464,9201,171.9434893131256
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task3,0.0,1.0,0.3333333333333333,0.5,317267,27993,449.72047209739685
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task7,0.0,0.5,0.6666666666666666,0.5714285714285715,290127,16077,290.5019063949585
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task2,0.0,0.0,0.0,0.0,525190,34222,560.1486351490021
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task4,0.0,1.0,0.1111111111111111,0.19999999999999998,525275,16287,372.75036668777466
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task5,1.0,1.0,1.0,1.0,227052,13835,237.87340140342712
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task7,1.0,1.0,1.0,1.0,119683,7175,134.5587637424469
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task8,0.0,0.0,0.0,0.0,418518,18294,523.572297334671
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task4,1.0,1.0,1.0,1.0,152022,7668,161.08563709259033
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task1,0.0,0.0,0.0,0.0,239348,12371,226.34009289741516
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task10,0.0,0.0,0.0,0.0,160844,7723,179.8102924823761
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task5,1.0,1.0,1.0,1.0,673753,29439,489.6783821582794
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task9,0.0,0.0,0.0,0.0,286448,13908,289.81921792030334
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task6,0.0,0.0,0.0,0.0,801144,27742,533.4515764713287
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task2,1.0,1.0,1.0,1.0,184094,10585,204.17792224884033
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task3,1.0,1.0,1.0,1.0,220820,9815,199.72496128082275
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task2,1.0,1.0,1.0,1.0,324546,16657,353.1900703907013
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task6,0.0,0.0,0.0,0.0,236069,19959,370.2894079685211
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task1,1.0,1.0,1.0,1.0,517399,20111,343.1451303958893
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task4,0.0,0.0,0.0,0.0,129368,8624,161.33874773979187
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task3,0.0,0.0,0.0,0.0,166266,25577,442.08230566978455
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task5,0.0,0.0,0.0,0.0,186176,11399,220.09795236587524
