task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens,execution_time_seconds
Webmall_Checkout,Webmall_Checkout_Task8,1.0,1.0,1.0,1.0,179556,12332,180.06776118278503
Webmall_Checkout,Webmall_Checkout_Task5,0.0,0.0,0.0,0.0,152839,13661,184.8971529006958
Webmall_Checkout,Webmall_Checkout_Task6,0.0,0.0,0.0,0.0,145769,10653,164.64466547966003
Webmall_Checkout,Webmall_Checkout_Task1,0.0,0.0,0.0,0.0,152515,10369,161.16307973861694
Webmall_Checkout,Webmall_Checkout_Task4,1.0,1.0,1.0,1.0,208847,13928,214.03507328033447
Webmall_Checkout,Webmall_Checkout_Task3,0.0,0.0,0.0,0.0,143217,11078,158.4253053665161
Webmall_Checkout,Webmall_Checkout_Task2,1.0,0.0,0.0,0.0,102417,8838,145.3548502922058
Webmall_Checkout,Webmall_Checkout_Task7,0.0,0.0,0.0,0.0,173719,9700,161.5573091506958
Webmall_Find_Cheapest_Offer,Webmall_Find_Cheapest_Offer_Task4,1.0,1.0,1.0,1.0,139399,9950,145.10293889045715
Webmall_Find_Cheapest_Offer,Webmall_Find_Cheapest_Offer_Task3,0.0,0.0,0.0,0.0,77704,4320,75.72351574897766
Webmall_Find_Cheapest_Offer,Webmall_Find_Cheapest_Offer_Task5,1.0,1.0,1.0,1.0,78032,5337,88.83502769470215
Webmall_Find_Cheapest_Offer,Webmall_Find_Cheapest_Offer_Task7,0.0,0.0,0.0,0.0,279915,18837,287.63904452323914
Webmall_Find_Cheapest_Offer,Webmall_Find_Cheapest_Offer_Task10,1.0,1.0,1.0,1.0,106496,8127,118.99381256103516
Webmall_Find_Cheapest_Offer,Webmall_Find_Cheapest_Offer_Task9,1.0,1.0,1.0,1.0,94695,7038,101.6612708568573
Webmall_Find_Cheapest_Offer,Webmall_Find_Cheapest_Offer_Task8,1.0,1.0,1.0,1.0,87203,6517,99.15204787254333
Webmall_Find_Cheapest_Offer,Webmall_Find_Cheapest_Offer_Task1,1.0,1.0,1.0,1.0,110770,7512,111.20393109321594
Webmall_Find_Cheapest_Offer,Webmall_Find_Cheapest_Offer_Task6,0.0,0.0,0.0,0.0,166036,10888,156.16815662384033
Webmall_Find_Cheapest_Offer,Webmall_Find_Cheapest_Offer_Task2,1.0,1.0,1.0,1.0,203269,17971,247.2946858406067
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task4,0.0,1.0,0.2727272727272727,0.42857142857142855,144775,13957,204.55176639556885
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task2,0.0,1.0,0.6,0.7499999999999999,109901,11451,150.6100878715515
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task9,1.0,1.0,1.0,1.0,343448,19936,273.32333397865295
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task5,1.0,1.0,1.0,1.0,130482,12574,165.61267042160034
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task8,0.0,1.0,0.3333333333333333,0.5,175541,17114,216.60573196411133
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task6,1.0,1.0,1.0,1.0,415067,21781,338.44630885124207
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task3,0.0,0.0,0.0,0.0,408797,22625,326.93115735054016
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task7,1.0,1.0,1.0,1.0,200565,14076,186.03282761573792
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task1,1.0,1.0,1.0,1.0,98339,7425,115.9375524520874
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task10,0.0,0.6666666666666666,1.0,0.8,463772,36134,463.5307824611664
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task11,0.0,0.0,0.0,0.0,519308,29883,416.646324634552
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task6,1.0,1.0,1.0,1.0,105997,6973,118.46723055839539
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task1,0.0,1.0,0.5,0.6666666666666666,106503,7814,121.33660221099854
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task7,1.0,1.0,1.0,1.0,135588,11271,168.9033224582672
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task2,0.0,1.0,0.5,0.6666666666666666,104294,8128,127.1253821849823
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task3,1.0,1.0,1.0,1.0,172210,11096,167.69845581054688
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task4,1.0,1.0,1.0,1.0,103172,7639,117.5818681716919
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task5,1.0,1.0,1.0,1.0,100544,6814,101.97384595870972
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task10,1.0,1.0,1.0,1.0,59463,6227,92.45702481269836
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task5,1.0,1.0,1.0,1.0,110222,7917,126.2347822189331
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task1,1.0,1.0,1.0,1.0,100630,7568,118.89257454872131
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task12,1.0,1.0,1.0,1.0,141347,12526,173.13530135154724
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task8,1.0,1.0,1.0,1.0,143564,10345,141.65592193603516
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task7,0.0,0.5,1.0,0.6666666666666666,148295,11955,165.504896402359
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task3,0.0,1.0,0.75,0.8571428571428571,213165,16676,233.0987515449524
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task9,1.0,1.0,1.0,1.0,197496,13660,207.26082181930542
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task6,0.0,1.0,0.36363636363636365,0.5333333333333333,334333,23481,345.93697690963745
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task2,0.0,1.0,0.5,0.6666666666666666,57803,5526,88.11508822441101
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task11,1.0,1.0,1.0,1.0,350269,23108,700.0368347167969
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task4,1.0,1.0,1.0,1.0,146049,10834,180.7698118686676
Webmall_Cheapest_Offer_Vague_Requirements,Webmall_Cheapest_Offer_Vague_Requirements_Task6,0.0,1.0,0.6666666666666666,0.8,162058,13213,187.70284414291382
Webmall_Cheapest_Offer_Vague_Requirements,Webmall_Cheapest_Offer_Vague_Requirements_Task5,0.0,0.0,0.0,0.0,165911,11746,201.87526321411133
Webmall_Cheapest_Offer_Vague_Requirements,Webmall_Cheapest_Offer_Vague_Requirements_Task2,0.0,0.0,0.0,0.0,587682,41390,544.883533000946
Webmall_Cheapest_Offer_Vague_Requirements,Webmall_Cheapest_Offer_Vague_Requirements_Task1,1.0,1.0,1.0,1.0,479273,33626,415.9483163356781
Webmall_Cheapest_Offer_Vague_Requirements,Webmall_Cheapest_Offer_Vague_Requirements_Task3,0.0,1.0,0.5,0.6666666666666666,117632,10395,137.98194289207458
Webmall_Cheapest_Offer_Vague_Requirements,Webmall_Cheapest_Offer_Vague_Requirements_Task4,0.0,0.0,0.0,0.0,365808,27917,382.2394711971283
Webmall_EndToEnd,Webmall_EndToEnd_Task2,0.0,0.0,0.0,0.0,357987,18217,873.8455231189728
Webmall_EndToEnd,Webmall_EndToEnd_Task8,1.0,0.0,0.0,0.0,137939,10865,161.03855204582214
Webmall_EndToEnd,Webmall_EndToEnd_Task6,0.0,0.0,0.0,0.0,243231,16120,248.35816740989685
Webmall_EndToEnd,Webmall_EndToEnd_Task3,0.0,0.0,0.0,0.0,389137,23248,478.6710855960846
Webmall_EndToEnd,Webmall_EndToEnd_Task5,0.0,0.0,0.0,0.0,325521,16141,261.2321310043335
