task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens,execution_time_seconds
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task3,1.0,1.0,1.0,1.0,257752,21169,542.4884552955627
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task4,1.0,1.0,1.0,1.0,275090,22521,679.803950548172
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task2,1.0,1.0,1.0,1.0,150127,12354,294.8166706562042
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task1,0.0,1.0,0.5,0.6666666666666666,187667,15429,412.3176667690277
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task5,1.0,1.0,1.0,1.0,190700,17780,491.96797347068787
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task7,1.0,1.0,1.0,1.0,237781,21645,581.8843510150909
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task6,1.0,1.0,1.0,1.0,169983,14442,389.0820553302765
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task9,1.0,1.0,1.0,1.0,131654,10682,268.3494641780853
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task10,1.0,1.0,1.0,1.0,101428,8363,204.46869277954102
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task3,1.0,1.0,1.0,1.0,359351,27876,572.8312883377075
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task12,1.0,1.0,1.0,1.0,174235,13999,346.3667275905609
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task6,0.0,0.0,0.0,0.0,601497,58024,1234.5728883743286
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task7,1.0,1.0,1.0,1.0,95427,6824,170.13651704788208
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task8,1.0,1.0,1.0,1.0,123481,11505,238.48058009147644
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task4,1.0,1.0,1.0,1.0,258795,19559,457.5415987968445
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task1,1.0,1.0,1.0,1.0,196362,20265,484.3251612186432
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task5,1.0,1.0,1.0,1.0,147472,13588,322.0140652656555
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task2,0.0,1.0,0.5,0.6666666666666666,100269,8930,227.66677927970886
Webmall_Find_Specific_Product,Webmall_Find_Specific_Product_Task11,1.0,1.0,1.0,1.0,145763,13801,341.53755736351013
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task5,1.0,1.0,1.0,1.0,239398,24821,569.7066285610199
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task11,0.0,0.0,0.0,0.0,634009,58410,1250.1686017513275
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task10,0.0,0.6666666666666666,1.0,0.8,434995,34834,905.2048931121826
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task1,1.0,1.0,1.0,1.0,460945,37450,964.6921336650848
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task2,1.0,1.0,1.0,1.0,110824,11715,309.69121050834656
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task6,1.0,1.0,1.0,1.0,333315,24222,652.0768184661865
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task9,1.0,1.0,1.0,1.0,436424,36381,959.1104612350464
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task7,1.0,1.0,1.0,1.0,245353,27394,698.1649453639984
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task3,1.0,1.0,1.0,1.0,263091,23075,585.1596963405609
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task8,0.0,1.0,0.5833333333333334,0.7368421052631579,360043,35733,1033.3442022800446
Webmall_Products_Fulfilling_Specific_Requirements,Webmall_Products_Fulfilling_Specific_Requirements_Task4,0.0,0.0,0.0,0.0,672483,73242,1562.1849932670593
Webmall_Checkout,Webmall_Checkout_Task2,0.0,0.0,0.0,0.0,59738,6457,166.11771202087402
Webmall_Checkout,Webmall_Checkout_Task4,0.0,0.0,0.0,0.0,164223,10742,367.69613575935364
Webmall_Checkout,Webmall_Checkout_Task8,1.0,0.0,0.0,0.0,166508,9530,307.0780761241913
Webmall_Checkout,Webmall_Checkout_Task1,1.0,1.0,1.0,1.0,190595,11872,382.83286237716675
Webmall_Checkout,Webmall_Checkout_Task5,0.0,0.0,0.0,0.0,102653,10110,372.2333183288574
