task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens,execution_time_seconds,total_tool_calls,search_tool_calls,cart_tool_calls,checkout_tool_calls,evaluation_strategy,checkout_successful,error_occurred
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task1,1,1.0,1.0,1.0,109478,1297,48.096043825149536,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task2,1,1.0,1.0,1.0,105551,1778,52.25215005874634,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task3,1,1.0,1.0,1.0,201874,2404,79.37467312812805,8,8,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task4,1,1.0,1.0,1.0,182387,2986,89.06749272346497,8,8,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task5,1,1.0,1.0,1.0,44767,1863,49.17616820335388,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task6,1,1.0,1.0,1.0,99498,3894,104.20920705795288,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task7,1,1.0,1.0,1.0,57970,2466,52.81206297874451,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task8,1,1.0,1.0,1.0,47740,1943,50.161585092544556,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task9,1,1.0,1.0,1.0,44782,2139,58.59147000312805,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task10,1,1.0,1.0,1.0,203795,2729,75.97414302825928,8,8,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task11,1,1.0,1.0,1.0,51717,1591,44.20820093154907,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task12,1,1.0,1.0,1.0,45626,1793,53.487828969955444,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task1,1,1.0,1.0,1.0,104044,1500,31.854374885559082,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task2,1,1.0,1.0,1.0,97692,4138,105.06163883209229,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task3,1,1.0,1.0,1.0,98336,2666,64.62672114372253,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task4,1,1.0,1.0,1.0,35033,2082,60.62861680984497,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task5,1,1.0,1.0,1.0,44468,1651,50.310648679733276,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task6,1,1.0,1.0,1.0,60873,3240,84.3572268486023,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task7,0,0.0,0.0,0.0,284446,2576,91.83137702941895,12,12,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task8,1,1.0,1.0,1.0,57690,1849,47.679896116256714,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task9,1,1.0,1.0,1.0,53817,2470,63.382638931274414,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task10,1,1.0,1.0,1.0,54991,1962,47.40994572639465,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task1,1,1.0,1.0,1.0,237161,4185,115.99400496482849,12,12,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task2,1,1.0,1.0,1.0,56383,1889,50.85932779312134,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task3,1,1.0,1.0,1.0,224118,4909,128.8446798324585,12,12,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task4,0,1.0,0.7272727272727273,0.8421052631578948,272650,7170,176.40098094940186,8,8,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task5,1,1.0,1.0,1.0,109124,2725,64.89735198020935,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task6,1,1.0,1.0,1.0,171190,2321,64.26520872116089,8,8,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task7,1,1.0,1.0,1.0,199251,4042,90.58082127571106,12,12,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task8,0,0.6363636363636364,0.5833333333333334,0.6086956521739131,62620,6467,147.3621952533722,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task9,1,1.0,1.0,1.0,103128,2868,144.9861979484558,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task10,1,1.0,1.0,1.0,222633,5495,144.20968294143677,8,8,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task11,0,0.6,0.5,0.5454545454545454,151901,12071,365.9645700454712,14,10,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task1,1,1.0,1.0,1.0,36260,2135,51.005847215652466,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task2,0,0.5,1.0,0.6666666666666666,43884,5191,137.68321108818054,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,206685,4186,137.37849617004395,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task4,1,1.0,1.0,1.0,97551,3852,116.32823514938354,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task5,1,1.0,1.0,1.0,102636,2984,90.80375289916992,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task6,1,1.0,1.0,1.0,648360,6108,222.26954793930054,20,20,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task7,0,0.0,0.0,0.0,190183,8335,346.5341341495514,16,16,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task8,0,0.14285714285714285,0.5,0.22222222222222224,195111,5691,173.58815789222717,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task1,0,0.0,0.0,0.0,101672,4336,94.83633279800415,5,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task2,1,1.0,1.0,1.0,102126,2669,71.29790496826172,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task3,1,1.0,1.0,1.0,53511,1757,49.4035918712616,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task4,1,1.0,1.0,1.0,105646,2590,83.71170806884766,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task5,1,1.0,1.0,1.0,101189,2699,45.42299509048462,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task6,0,0.0,0.0,0.0,181507,5154,134.14247608184814,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task7,1,1.0,1.0,1.0,58946,2565,57.78999400138855,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task8,0,0.0,0.0,0.0,102524,3734,91.12835907936096,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task9,1,1.0,1.0,1.0,42684,2776,62.21965408325195,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task10,1,1.0,1.0,1.0,54442,2734,61.592849016189575,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task1,1,1.0,1.0,1.0,200275,2763,73.29074883460999,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task2,1,1.0,1.0,1.0,129748,9122,149.79923391342163,6,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task3,0,0.0,0.0,0.0,105520,4152,88.70182704925537,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task4,0,0.0,0.0,0.0,0,0,113.64677405357361,0,0,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task5,0,0.0,0.0,0.0,102954,3076,63.1986939907074,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task6,0,0.6,1.0,0.7499999999999999,31349,4709,91.6021671295166,4,4,0,0,search_only,False,False
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task1,1,1.0,1.0,1.0,186593,4165,87.00374603271484,10,8,2,0,cart_only,False,False
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task2,1,1.0,1.0,1.0,152070,3740,70.80854296684265,6,4,2,0,cart_only,False,False
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task3,1,1.0,1.0,1.0,254585,5412,116.00573992729187,10,8,2,0,cart_only,False,False
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task4,1,1.0,1.0,1.0,236904,4480,101.78697514533997,9,7,2,0,cart_only,False,False
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task5,0,0.5,1.0,0.6666666666666666,600371,7257,195.14641523361206,11,8,3,0,cart_only,False,False
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task6,1,1.0,1.0,1.0,357152,3849,91.4949951171875,10,8,2,0,cart_only,False,False
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task7,1,1.0,1.0,1.0,96510,5351,130.4694950580597,10,7,2,0,cart_only,False,False
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task1,0,0.2,0.3333333333333333,0.25,212792,7531,196.37204575538635,12,12,0,0,search_only,False,False
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task2,1,1.0,1.0,1.0,204684,2557,66.66995692253113,4,4,0,0,search_only,False,False
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task3,1,1.0,1.0,1.0,101646,2714,38.552797079086304,4,4,0,0,search_only,False,False
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task4,0,1.0,0.6666666666666666,0.8,238043,6636,161.8428008556366,18,16,0,0,search_only,False,False
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task5,0,0.5,1.0,0.6666666666666666,94979,3406,77.24313521385193,8,8,0,0,search_only,False,False
