task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens,execution_time_seconds,total_tool_calls,search_tool_calls,cart_tool_calls,checkout_tool_calls,evaluation_strategy,checkout_successful,error_occurred
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task1,1,1.0,1.0,1.0,60677,1289,46.854109048843384,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task2,1,1.0,1.0,1.0,99268,1829,73.48836493492126,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task3,1,1.0,1.0,1.0,201847,1865,84.98503708839417,8,8,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task4,1,1.0,1.0,1.0,44323,1527,57.75365900993347,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task5,1,1.0,1.0,1.0,40443,1275,65.7660231590271,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task6,0,0.9,0.8181818181818182,0.8571428571428572,100017,3005,90.61118507385254,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task7,1,1.0,1.0,1.0,58006,1872,65.2234239578247,5,5,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task8,1,1.0,1.0,1.0,47177,1600,48.14403796195984,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task9,1,1.0,1.0,1.0,97348,1375,65.22630095481873,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task10,1,1.0,1.0,1.0,48706,1015,41.083009004592896,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task11,1,1.0,1.0,1.0,44419,1602,52.044265031814575,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task12,1,1.0,1.0,1.0,45630,1285,56.74423408508301,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task1,1,1.0,1.0,1.0,46947,1326,41.634175062179565,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task2,1,1.0,1.0,1.0,97711,2685,84.57078409194946,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task3,1,1.0,1.0,1.0,98361,1219,40.64344310760498,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task4,1,1.0,1.0,1.0,121374,1923,54.84471130371094,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task5,1,1.0,1.0,1.0,95446,1468,68.54247999191284,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task6,1,1.0,1.0,1.0,334939,3401,163.84941220283508,5,5,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task7,0,0.0,0.0,0.0,57271,1013,33.63193082809448,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task8,1,1.0,1.0,1.0,95623,2035,70.19967103004456,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task9,1,1.0,1.0,1.0,29761,1308,41.32912588119507,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task10,1,1.0,1.0,1.0,58522,1270,39.13592791557312,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task1,1,1.0,1.0,1.0,47739,1626,46.56873106956482,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task2,1,1.0,1.0,1.0,100111,3129,79.4916160106659,5,5,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task3,1,1.0,1.0,1.0,102893,2262,63.984477043151855,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task4,0,0.4666666666666667,0.6363636363636364,0.5384615384615385,58169,7107,200.52346181869507,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task5,1,1.0,1.0,1.0,100963,2210,61.5420868396759,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task6,1,1.0,1.0,1.0,204236,1411,69.48671698570251,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task7,1,1.0,1.0,1.0,101150,1928,68.48865675926208,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task8,0,0.9,0.75,0.8181818181818182,105406,6146,178.3634569644928,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task9,0,0.3333333333333333,1.0,0.5,101174,3124,86.05698585510254,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task10,0,0.5,0.5,0.5,103504,2974,97.36337399482727,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task11,0,0.6,0.5,0.5454545454545454,121786,5348,154.14811205863953,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task1,1,1.0,1.0,1.0,91076,2785,69.16190886497498,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task2,0,0.5,1.0,0.6666666666666666,101217,3839,106.66821002960205,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,370642,5100,142.31493091583252,4,4,0,0,search_only,False,False
