task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens,execution_time_seconds,total_tool_calls,search_tool_calls,cart_tool_calls,checkout_tool_calls,evaluation_strategy,checkout_successful,error_occurred
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task1,1,1.0,1.0,1.0,55308,274,21.106672048568726,3,3,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task2,0,1.0,0.75,0.8571428571428571,59450,263,16.676738023757935,3,3,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task3,1,1.0,1.0,1.0,87246,419,23.423777103424072,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task4,0,0.5,0.5,0.5,44169,292,14.796161890029907,2,2,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task5,1,1.0,1.0,1.0,63600,294,18.27807116508484,3,3,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task6,0,0.8888888888888888,0.7272727272727273,0.7999999999999999,64335,829,26.5409197807312,3,3,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task7,0,0.5,0.5,0.5,60117,317,19.931693077087402,3,3,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task8,0,1.0,0.6666666666666666,0.8,55904,309,16.953871726989746,3,3,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task9,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,65855,290,20.42602014541626,3,3,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task10,1,1.0,1.0,1.0,62420,308,18.937960147857666,3,3,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task11,1,1.0,1.0,1.0,63612,326,22.700257062911987,3,3,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task12,0,0.75,1.0,0.8571428571428571,62745,513,20.71049404144287,3,3,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task1,0,0.0,0.0,0.0,51397,299,16.74309015274048,2,2,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task2,0,0.375,0.75,0.5,112424,542,20.597208261489868,3,3,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task3,0,0.0,0.0,0.0,35546,193,13.370100021362305,2,2,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task4,0,0.0,0.0,0.0,47428,307,17.755486965179443,2,2,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task5,0,0.5,1.0,0.6666666666666666,38289,284,14.449959993362427,2,2,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task6,0,0.0,0.0,0.0,117029,340,20.5466628074646,3,3,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task7,1,1.0,1.0,1.0,60933,265,19.004613876342773,3,3,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task8,1,1.0,1.0,1.0,67664,330,20.376601934432983,3,3,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task9,0,1.0,0.5,0.6666666666666666,66264,275,16.762590885162354,3,3,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task10,0,0.3333333333333333,1.0,0.5,98367,358,18.85965371131897,3,3,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task1,0,0.3333333333333333,1.0,0.5,94733,467,19.09500288963318,3,3,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task2,0,0.375,0.6,0.4615384615384615,66081,531,21.41029191017151,3,3,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task3,0,0.0,0.0,0.0,89749,236,15.562813997268677,2,2,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task4,0,0.2,0.09090909090909091,0.12500000000000003,84733,526,23.21029496192932,3,3,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task5,0,1.0,0.25,0.4,101875,202,20.153536081314087,2,2,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task6,0,0.25,1.0,0.4,69030,502,18.012938022613525,3,3,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task7,0,0.0,0.0,0.0,54475,533,19.142151832580566,2,2,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task8,0,0.6666666666666666,0.3333333333333333,0.4444444444444444,193948,631,43.13988900184631,3,3,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task9,0,0.3333333333333333,0.5,0.4,28773,233,9.677979946136475,1,1,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task10,0,0.0,0.0,0.0,53949,480,18.33974313735962,2,2,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task11,0,0.5,0.3333333333333333,0.4,75060,391,18.833528757095337,2,2,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task1,0,0.5,0.75,0.6,204709,466,30.25893998146057,3,3,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task2,0,0.25,0.125,0.16666666666666666,39360,268,11.40939998626709,1,1,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task3,0,0.07692307692307693,0.3333333333333333,0.125,65266,889,28.174635887145996,2,2,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task4,0,1.0,0.8888888888888888,0.9411764705882353,100266,749,34.21887516975403,3,3,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task5,0,0.0,0.0,0.0,57768,309,16.977323055267334,2,2,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task6,0,0.0,0.0,0.0,55091,383,25.81027889251709,2,2,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task7,0,0.15,0.5,0.23076923076923075,60734,1010,27.771025896072388,3,3,0,0,search_only,False,False
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task8,0,0.2,0.5,0.28571428571428575,85907,663,34.560927867889404,3,3,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task1,0,0.0,0.0,0.0,52418,286,28.60529398918152,2,2,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task2,0,0.0,0.0,0.0,49750,279,13.859691858291626,2,2,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task3,0,0.0,0.0,0.0,79656,214,24.851906061172485,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task4,0,0.0,0.0,0.0,65976,196,15.2047860622406,2,2,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task5,0,0.3333333333333333,1.0,0.5,60720,313,20.894866228103638,3,3,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task6,0,0.0,0.0,0.0,64407,226,15.98849630355835,2,2,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task7,0,0.25,1.0,0.4,114851,397,20.174535751342773,3,3,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task8,0,0.0,0.0,0.0,109204,266,16.17117476463318,2,2,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task9,0,0.0,0.0,0.0,29976,119,7.5579328536987305,1,1,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task10,0,0.0,0.0,0.0,118417,307,18.920199155807495,3,3,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task1,0,0.5,0.25,0.3333333333333333,44343,175,10.479728937149048,1,1,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task2,0,0.0,0.0,0.0,40247,196,8.721121072769165,1,1,0,0,search_only,False,False
