task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens,execution_time_seconds
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task1,1,1.0,1.0,1.0,37546,970,34.14318585395813
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task2,1,1.0,1.0,1.0,33831,1577,39.99930000305176
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task3,1,1.0,1.0,1.0,49131,1803,50.30102801322937
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task4,1,1.0,1.0,1.0,28012,1182,28.15110206604004
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task5,1,1.0,1.0,1.0,25874,1211,26.761304140090942
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task6,1,1.0,1.0,1.0,31435,2867,45.736324071884155
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task7,1,1.0,1.0,1.0,34857,1461,32.439887046813965
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task8,1,1.0,1.0,1.0,33319,1512,27.422080993652344
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task9,1,1.0,1.0,1.0,25492,1049,22.45512294769287
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task10,1,1.0,1.0,1.0,34221,1084,20.726672172546387
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task11,1,1.0,1.0,1.0,31196,1664,35.726911306381226
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task12,1,1.0,1.0,1.0,30986,1619,33.46158480644226
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task1,1,1.0,1.0,1.0,34332,1130,23.561707019805908
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task2,1,1.0,1.0,1.0,51034,3710,97.48011875152588
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task3,1,1.0,1.0,1.0,24998,1092,30.555370092391968
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task4,1,1.0,1.0,1.0,27945,2094,57.858498096466064
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task5,1,1.0,1.0,1.0,25737,1095,42.58427381515503
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task6,1,1.0,1.0,1.0,30768,2190,62.7048237323761
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task7,0,0.0,0.0,0.0,36825,1854,62.11600470542908
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task8,1,1.0,1.0,1.0,30865,1599,53.948580265045166
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task9,1,1.0,1.0,1.0,24693,1161,45.795727014541626
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task10,1,1.0,1.0,1.0,30402,1389,55.09858202934265
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task1,1,1.0,1.0,1.0,31070,1560,70.82663202285767
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task2,1,1.0,1.0,1.0,56576,1513,66.4392318725586
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task3,1,1.0,1.0,1.0,54424,1654,75.66505908966064
