interface,model,task_id,total_search_invocations,total_elements_retrieved
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Add_To_Cart_Task1,4,93
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Add_To_Cart_Task2,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Add_To_Cart_Task3,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Add_To_Cart_Task4,4,88
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Add_To_Cart_Task5,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Add_To_Cart_Task6,4,90
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Add_To_Cart_Task7,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Specific_Task1,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Specific_Task10,4,91
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Specific_Task11,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Specific_Task2,4,172
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Specific_Task3,4,171
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Specific_Task4,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Specific_Task5,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Specific_Task6,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Specific_Task7,8,182
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Specific_Task8,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Specific_Task9,4,172
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Vague_Task1,4,172
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Vague_Task2,4,409
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Vague_Task3,4,413
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Vague_Task4,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Vague_Task5,4,164
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Vague_Task6,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Vague_Task7,12,276
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Best_Fit_Vague_Task8,4,91
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Best_Fit_Specific_Task1,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Best_Fit_Specific_Task10,4,167
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Best_Fit_Specific_Task2,4,89
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Best_Fit_Specific_Task3,4,93
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Best_Fit_Specific_Task4,4,412
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Best_Fit_Specific_Task5,4,411
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Best_Fit_Specific_Task6,4,170
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Best_Fit_Specific_Task7,4,171
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Best_Fit_Specific_Task8,4,172
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Best_Fit_Specific_Task9,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Best_Fit_Vague_Task1,4,411
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Best_Fit_Vague_Task2,4,212
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Best_Fit_Vague_Task3,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Best_Fit_Vague_Task4,24,552
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Best_Fit_Vague_Task5,4,91
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Best_Fit_Vague_Task6,4,91
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Product_Search_Task1,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Product_Search_Task10,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Product_Search_Task2,4,172
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Product_Search_Task3,4,89
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Product_Search_Task4,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Product_Search_Task5,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Product_Search_Task6,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Product_Search_Task7,4,87
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Product_Search_Task8,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Cheapest_Product_Search_Task9,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Checkout_Task1,0,0
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Checkout_Task2,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Checkout_Task3,5,115
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Checkout_Task4,5,116
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Checkout_Task5,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Checkout_Task6,0,0
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Checkout_Task7,0,0
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_Checkout_Task8,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_EndToEnd_Task1,4,90
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_EndToEnd_Task2,4,91
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_EndToEnd_Task3,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_EndToEnd_Task4,4,92
nlweb_mcp_enhanced_results_20251009_123028.json,unknown,Webmall_EndToEnd_Task5,4,92
