task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens,execution_time_seconds
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task1,1,1.0,1.0,1.0,97298,769,22.009192943572998
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task2,1,1.0,1.0,1.0,33967,993,21.52457022666931
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task3,1,1.0,1.0,1.0,182987,2300,52.794158935546875
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task4,1,1.0,1.0,1.0,70460,1046,25.33324122428894
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task5,1,1.0,1.0,1.0,69054,960,30.14709782600403
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task1,1,1.0,1.0,1.0,97442,1318,28.390289068222046
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task2,1,1.0,1.0,1.0,306774,2049,44.712218046188354
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task3,1,1.0,1.0,1.0,66826,1368,31.885499954223633
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task4,1,1.0,1.0,1.0,70774,1375,34.57111406326294
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task5,1,1.0,1.0,1.0,25824,837,34.26645517349243
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task1,1,1.0,1.0,1.0,79068,977,28.16085410118103
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task2,1,1.0,1.0,1.0,32120,1268,22.730679750442505
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task3,1,1.0,1.0,1.0,72565,1183,25.852038860321045
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task4,0,1.0,0.9090909090909091,0.9523809523809523,33696,6768,88.93380117416382
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task5,1,1.0,1.0,1.0,70018,1543,37.44137716293335
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task1,1,1.0,1.0,1.0,131870,2584,56.33977389335632
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task2,0,0.47058823529411764,1.0,0.6399999999999999,73043,3048,54.37146067619324
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task3,1,1.0,1.0,1.0,317163,2938,72.39177393913269
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task4,0,1.0,0.8888888888888888,0.9411764705882353,75943,2514,42.850506067276
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task5,1,1.0,1.0,1.0,85903,1650,35.10858106613159
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task1,0,0.0,0.0,0.0,78404,1616,33.177258014678955
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task2,1,1.0,1.0,1.0,71617,1135,27.499118089675903
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task3,1,1.0,1.0,1.0,75107,1099,29.34568977355957
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task4,0,0.0,0.0,0.0,28018,1433,24.4100399017334
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task5,0,0.0,0.0,0.0,76838,2270,43.540351152420044
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task1,0,0.0,0.0,0.0,123915,3203,62.06461000442505
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task2,1,1.0,1.0,1.0,37961,1992,30.32323718070984
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task3,1,1.0,1.0,1.0,26902,1379,23.30037808418274
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task4,1,1.0,1.0,1.0,58816,3060,45.790109157562256
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task5,0,0.5,1.0,0.6666666666666666,68174,1602,33.62711024284363
Webmall_EndToEnd,Webmall_EndToEnd_Task1,1,1.0,1.0,1.0,102091,2072,41.74826121330261
Webmall_EndToEnd,Webmall_EndToEnd_Task2,1,1.0,1.0,1.0,195897,1801,40.05916714668274
Webmall_EndToEnd,Webmall_EndToEnd_Task3,0,0.0,0.0,0.0,155584,1711,33.672767877578735
Webmall_EndToEnd,Webmall_EndToEnd_Task4,1,1.0,1.0,1.0,178836,921,29.579325914382935
Webmall_EndToEnd,Webmall_EndToEnd_Task5,1,1.0,1.0,1.0,127637,1108,32.7696647644043
