task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens,execution_time_seconds
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task1,1,1.0,1.0,1.0,97062,259,30.295623779296875
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task2,0,0.6666666666666666,1.0,0.8,94356,351,24.611642837524414
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task3,1,1.0,1.0,1.0,74220,370,23.349765062332153
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task4,0,0.18181818181818182,1.0,0.3076923076923077,70200,894,34.72007894515991
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task5,1,1.0,1.0,1.0,68810,308,24.54286217689514
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task6,0,1.0,0.8181818181818182,0.9,78348,819,37.04391384124756
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task7,0,0.5,1.0,0.6666666666666666,96313,417,25.008639097213745
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task8,1,1.0,1.0,1.0,89212,350,25.28902292251587
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task9,0,0.75,1.0,0.8571428571428571,65890,315,21.891050100326538
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task10,1,1.0,1.0,1.0,88389,329,23.18846893310547
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task11,1,1.0,1.0,1.0,74974,311,22.35901713371277
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task12,0,0.6,1.0,0.7499999999999999,83566,522,27.887680768966675
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task1,1,1.0,1.0,1.0,97222,236,26.05476999282837
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task2,0,0.5,1.0,0.6666666666666666,73509,536,28.169496059417725
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task3,0,0.3333333333333333,1.0,0.5,66570,458,25.22397804260254
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task4,0,0.5,1.0,0.6666666666666666,70570,356,24.609947204589844
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task5,1,1.0,1.0,1.0,68432,256,25.063333988189697
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task6,0,0.0,0.0,0.0,77191,292,21.320713996887207
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task7,1,1.0,1.0,1.0,99399,264,26.96725821495056
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task8,1,1.0,1.0,1.0,79747,325,25.36650824546814
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task9,1,1.0,1.0,1.0,65215,308,22.995529174804688
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task10,0,0.3333333333333333,1.0,0.5,72235,343,23.607239961624146
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task1,1,1.0,1.0,1.0,78590,282,22.47035002708435
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task2,0,0.3333333333333333,1.0,0.5,82001,807,44.42298698425293
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task3,1,1.0,1.0,1.0,72371,300,24.758789777755737
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task4,0,0.5789473684210527,1.0,0.7333333333333334,68442,1343,55.994752645492554
