task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens,execution_time_seconds
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task1,1,1.0,1.0,1.0,37546,267,19.596585750579834
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task2,1,1.0,1.0,1.0,33828,294,12.080468893051147
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task3,1,1.0,1.0,1.0,59001,356,14.641690969467163
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task4,1,1.0,1.0,1.0,28008,346,11.783586740493774
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task5,1,1.0,1.0,1.0,68810,308,25.366159915924072
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task6,1,1.0,1.0,1.0,31455,968,27.0953311920166
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task7,0,0.5,1.0,0.6666666666666666,34853,419,14.474493980407715
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task8,1,1.0,1.0,1.0,32699,337,11.450530052185059
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task9,1,1.0,1.0,1.0,25297,300,10.409786701202393
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task10,1,1.0,1.0,1.0,34243,330,12.07398509979248
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task11,1,1.0,1.0,1.0,31198,321,12.771477937698364
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task12,1,1.0,1.0,1.0,30985,403,15.165182828903198
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task1,1,1.0,1.0,1.0,34407,242,11.188467979431152
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task2,0,0.5,1.0,0.6666666666666666,27818,557,19.434086084365845
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task3,0,0.0,0.0,0.0,25006,409,15.797011852264404
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task4,0,0.5,1.0,0.6666666666666666,27924,347,13.748812913894653
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task5,1,1.0,1.0,1.0,25735,260,10.469398021697998
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task6,1,1.0,1.0,1.0,30767,333,12.19936203956604
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task7,1,1.0,1.0,1.0,36826,263,19.483856916427612
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task8,1,1.0,1.0,1.0,30860,314,12.866296768188477
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task9,1,1.0,1.0,1.0,24686,323,11.503833770751953
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task10,1,1.0,1.0,1.0,30388,223,10.217696905136108
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task1,1,1.0,1.0,1.0,31063,273,10.532306909561157
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task2,1,1.0,1.0,1.0,59035,371,14.747875928878784
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task3,1,1.0,1.0,1.0,26802,286,12.260340929031372
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task4,0,0.6363636363636364,0.6363636363636364,0.6363636363636364,26096,868,23.85302495956421
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task5,1,1.0,1.0,1.0,69720,443,24.962477922439575
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task6,1,1.0,1.0,1.0,31015,271,14.63762879371643
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task7,1,1.0,1.0,1.0,43181,319,15.969255208969116
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task8,0,1.0,0.5,0.6666666666666666,31314,516,16.345662117004395
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task9,0,1.0,0.5,0.6666666666666666,24604,207,8.896628856658936
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task10,1,1.0,1.0,1.0,33267,385,13.401066303253174
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task11,0,0.06666666666666667,0.3333333333333333,0.1111111111111111,26763,1913,50.258564949035645
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task1,1,1.0,1.0,1.0,29711,358,13.285040140151978
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task2,0,0.5333333333333333,1.0,0.6956521739130436,26359,824,21.430651903152466
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task3,1,1.0,1.0,1.0,26992,377,13.22523283958435
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task4,0,1.0,0.8888888888888888,0.9411764705882353,28839,709,21.312095880508423
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task5,1,1.0,1.0,1.0,31300,425,14.706042051315308
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task6,0,0.14285714285714285,1.0,0.25,32588,577,17.586416959762573
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task7,0,0.25,0.6666666666666666,0.36363636363636365,67067,752,39.85201597213745
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task8,0,0.05555555555555555,0.25,0.0909090909090909,27228,849,24.847216844558716
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task1,0,0.0,0.0,0.0,29683,252,9.553167819976807
