interface,model,task_id,total_search_invocations,total_elements_retrieved
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Add_To_Cart_Task1,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Add_To_Cart_Task2,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Add_To_Cart_Task3,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Add_To_Cart_Task4,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Add_To_Cart_Task5,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Add_To_Cart_Task6,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Add_To_Cart_Task7,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Specific_Task1,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Specific_Task10,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Specific_Task11,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Specific_Task2,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Specific_Task3,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Specific_Task4,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Specific_Task5,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Specific_Task6,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Specific_Task7,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Specific_Task8,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Specific_Task9,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Vague_Task1,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Vague_Task2,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Vague_Task3,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Vague_Task4,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Vague_Task5,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Vague_Task6,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Vague_Task7,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Best_Fit_Vague_Task8,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Cheapest_Best_Fit_Specific_Task1,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Cheapest_Best_Fit_Specific_Task10,4,40
nlweb_mcp_enhanced_results_20250724_133510.json,unknown,Webmall_Cheapest_Best_Fit_Specific_Task2,4,40
