interface,model,task_id,total_search_invocations,total_elements_retrieved
benchmark_results_20251010_004313.json,gpt-5,Webmall_Add_To_Cart_Task1,2,45
benchmark_results_20251010_004313.json,gpt-5,Webmall_Add_To_Cart_Task2,3,60
benchmark_results_20251010_004313.json,gpt-5,Webmall_Add_To_Cart_Task3,2,45
benchmark_results_20251010_004313.json,gpt-5,Webmall_Add_To_Cart_Task4,1,15
benchmark_results_20251010_004313.json,gpt-5,Webmall_Add_To_Cart_Task5,4,105
benchmark_results_20251010_004313.json,gpt-5,Webmall_Add_To_Cart_Task6,2,45
benchmark_results_20251010_004313.json,gpt-5,Webmall_Add_To_Cart_Task7,3,100
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Specific_Task1,16,430
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Specific_Task10,18,540
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Specific_Task11,4,170
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Specific_Task2,4,400
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Specific_Task3,21,540
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Specific_Task4,1,30
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Specific_Task5,13,390
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Specific_Task6,11,330
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Specific_Task7,9,210
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Specific_Task8,12,240
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Specific_Task9,34,800
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Vague_Task1,1,30
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Vague_Task2,19,285
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Vague_Task3,15,440
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Vague_Task4,1,30
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Vague_Task5,23,545
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Vague_Task6,29,516
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Vague_Task7,8,205
benchmark_results_20251010_004313.json,gpt-5,Webmall_Best_Fit_Vague_Task8,10,270
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task1,2,35
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task10,1,30
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task2,5,130
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task3,1,30
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task4,1,30
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task5,6,150
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task6,7,195
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task7,3,150
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task8,1,50
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task9,5,135
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task1,6,250
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task2,11,210
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task3,1,30
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task4,12,250
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task5,9,240
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task6,4,60
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Product_Search_Task1,1,15
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Product_Search_Task10,1,15
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Product_Search_Task2,9,220
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Product_Search_Task3,1,15
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Product_Search_Task4,3,50
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Product_Search_Task5,3,70
