interface,model,task_id,total_search_invocations,total_elements_retrieved
api_mcp,gpt-5-nano-2025-08-07,Webmall_Add_To_Cart_Task1,4,30
api_mcp,gpt-5-nano-2025-08-07,Webmall_Add_To_Cart_Task2,4,80
api_mcp,gpt-5-nano-2025-08-07,Webmall_Add_To_Cart_Task3,8,65
api_mcp,gpt-5-nano-2025-08-07,Webmall_Add_To_Cart_Task4,4,40
api_mcp,gpt-5-nano-2025-08-07,Webmall_Add_To_Cart_Task5,5,60
api_mcp,gpt-5-nano-2025-08-07,Webmall_Add_To_Cart_Task6,4,30
api_mcp,gpt-5-nano-2025-08-07,Webmall_Add_To_Cart_Task7,10,100
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Specific_Task1,4,30
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Specific_Task10,4,25
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Specific_Task11,4,40
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Specific_Task2,4,40
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Specific_Task3,4,30
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Specific_Task4,4,40
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Specific_Task5,4,40
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Specific_Task6,4,60
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Specific_Task7,4,30
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Specific_Task8,7,80
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Specific_Task9,4,80
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Vague_Task1,5,40
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Vague_Task2,4,30
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Vague_Task3,4,60
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Vague_Task4,4,50
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Vague_Task5,4,60
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Vague_Task6,8,60
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Vague_Task7,12,120
api_mcp,gpt-5-nano-2025-08-07,Webmall_Best_Fit_Vague_Task8,8,70
api_mcp,gpt-5-nano-2025-08-07,Webmall_Cheapest_Best_Fit_Specific_Task1,4,30
api_mcp,gpt-5-nano-2025-08-07,Webmall_Cheapest_Best_Fit_Specific_Task10,4,30
api_mcp,gpt-5-nano-2025-08-07,Webmall_Cheapest_Best_Fit_Specific_Task2,4,30
api_mcp,gpt-5-nano-2025-08-07,Webmall_Cheapest_Best_Fit_Specific_Task3,4,60
