task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens,execution_time_seconds
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task1,1,1.0,1.0,1.0,32926,197,17.92125391960144
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task2,1,1.0,1.0,1.0,29559,253,15.893714904785156
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task3,1,1.0,1.0,1.0,41557,382,14.258692979812622
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task4,1,1.0,1.0,1.0,23044,297,11.099124908447266
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task5,1,1.0,1.0,1.0,20780,272,21.959049224853516
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task6,1,1.0,1.0,1.0,26191,889,23.10208487510681
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task7,1,1.0,1.0,1.0,27305,256,12.076395034790039
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task8,1,1.0,1.0,1.0,28423,326,11.778053760528564
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task9,1,1.0,1.0,1.0,21006,255,9.943718194961548
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task10,1,1.0,1.0,1.0,29181,274,9.98404598236084
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task11,1,1.0,1.0,1.0,26147,271,8.043661117553711
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task12,0,0.6,1.0,0.7499999999999999,26186,481,17.134644985198975
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task1,1,1.0,1.0,1.0,30165,198,9.149386882781982
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task2,0,0.36363636363636365,1.0,0.5333333333333333,23287,647,13.333212852478027
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task3,0,0.0,0.0,0.0,20645,368,10.542392015457153
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task4,0,0.5,1.0,0.6666666666666666,22870,451,11.841408967971802
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task5,1,1.0,1.0,1.0,20931,215,18.819499969482422
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task6,1,1.0,1.0,1.0,25644,283,10.472472906112671
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task7,1,1.0,1.0,1.0,32163,221,18.71802806854248
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task8,1,1.0,1.0,1.0,25868,274,10.10079312324524
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task9,1,1.0,1.0,1.0,20063,271,16.95827889442444
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task10,0,0.5,1.0,0.6666666666666666,24343,246,8.123970985412598
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task1,1,1.0,1.0,1.0,26787,233,12.875562906265259
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task2,1,1.0,1.0,1.0,28089,323,8.121094703674316
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task3,0,0.5,1.0,0.6666666666666666,22251,346,18.35891819000244
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task4,0,0.5789473684210527,1.0,0.7333333333333334,21426,1289,19.571027994155884
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task5,1,1.0,1.0,1.0,21229,391,10.384886026382446
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task6,0,0.25,1.0,0.4,26423,388,11.608863115310669
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task7,0,1.0,0.5,0.6666666666666666,37162,215,10.692278146743774
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task8,0,1.0,0.5833333333333334,0.7368421052631579,27421,548,12.466683149337769
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task9,0,0.6666666666666666,1.0,0.8,19946,278,10.685182094573975
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task10,0,0.6666666666666666,1.0,0.8,26899,381,9.797842264175415
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task11,0,0.041666666666666664,0.16666666666666666,0.06666666666666667,22899,1514,22.549097061157227
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task1,1,1.0,1.0,1.0,25306,328,15.556211948394775
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task2,0,0.47058823529411764,1.0,0.6399999999999999,22131,914,18.825550079345703
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task3,1,1.0,1.0,1.0,21951,343,9.139004230499268
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task4,1,1.0,1.0,1.0,25028,763,13.96718692779541
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task5,1,1.0,1.0,1.0,26582,383,10.856072902679443
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task6,1,1.0,1.0,1.0,28642,234,13.439259052276611
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task7,0,0.6666666666666666,1.0,0.8,20852,503,10.941954135894775
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task8,0,0.0,0.0,0.0,21387,637,13.183504343032837
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task1,0,0.0,0.0,0.0,25567,233,11.264331102371216
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task2,0,0.25,1.0,0.4,23057,337,15.156104326248169
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task3,1,1.0,1.0,1.0,25342,234,8.774248838424683
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task4,0,0.0,0.0,0.0,23738,176,9.750765085220337
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task5,0,0.0,0.0,0.0,25254,250,12.358999013900757
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task6,0,0.0,0.0,0.0,38318,187,8.035999059677124
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task7,0,0.2,1.0,0.33333333333333337,28921,421,22.39944815635681
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task8,0,0.0,0.0,0.0,31456,342,13.324006080627441
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task9,0,0.0,0.0,0.0,22109,170,9.716946125030518
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task10,0,0.0,0.0,0.0,21042,190,16.31355595588684
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task1,0,0.25,0.25,0.25,21410,542,16.142725944519043
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task2,0,0.2,1.0,0.33333333333333337,22419,399,12.10848879814148
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task3,0,0.0,0.0,0.0,27698,184,13.070544004440308
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task4,0,0.6666666666666666,0.8,0.7272727272727272,26627,839,23.646209001541138
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task5,0,0.0,0.0,0.0,31236,191,8.830481052398682
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task6,0,0.0,0.0,0.0,26094,318,9.57452392578125
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task1,1,1.0,1.0,1.0,48336,348,11.108336210250854
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task2,1,1.0,1.0,1.0,56817,373,12.311026096343994
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task3,1,1.0,1.0,1.0,49063,344,19.26174831390381
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task4,1,1.0,1.0,1.0,70084,389,17.432101011276245
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task5,0,0.5,1.0,0.6666666666666666,51877,328,9.90346384048462
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task6,1,1.0,1.0,1.0,54553,359,13.798221111297607
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task7,0,0.5,1.0,0.6666666666666666,48654,465,17.584877967834473
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task1,0,0.0,0.0,0.0,21722,501,10.202163934707642
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task2,0,0.75,1.0,0.8571428571428571,32370,467,13.8718421459198
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task3,1,1.0,1.0,1.0,24681,414,15.850198984146118
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task4,0,1.0,0.6666666666666666,0.8,26648,288,12.553354978561401
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task5,0,0.5,1.0,0.6666666666666666,20320,261,10.247816801071167
